energy    numu_flux nuebar_flux  CC_nuebar CC_numu   NC_nuebar NC_numu
1.422e+01 4.968e+14 6.624e+14 2.399e-38 6.192e-38 9.329e-39 1.975e-38
1.790e+01 5.832e+14 9.360e+14 3.376e-38 8.478e-38 1.303e-38 2.691e-38
2.254e+01 9.072e+14 1.253e+15 4.659e-38 1.140e-37 1.772e-38 3.611e-38
2.837e+01 1.152e+15 1.649e+15 6.293e-38 1.511e-37 2.387e-38 4.777e-38
3.572e+01 1.706e+15 2.182e+15 8.446e-38 1.978e-37 3.176e-38 6.234e-38
4.496e+01 2.304e+15 2.815e+15 1.117e-37 2.585e-37 4.187e-38 8.117e-38
5.661e+01 2.671e+15 3.240e+15 1.466e-37 3.331e-37 5.474e-38 1.047e-37
7.126e+01 3.787e+15 4.428e+15 1.914e-37 4.286e-37 7.111e-38 1.347e-37
8.972e+01 4.781e+15 5.558e+15 2.483e-37 5.492e-37 9.170e-38 1.721e-37
1.129e+02 5.825e+15 7.236e+15 3.198e-37 6.992e-37 1.179e-37 2.188e-37
1.422e+02 7.214e+15 8.705e+15 4.117e-37 8.863e-37 1.510e-37 2.790e-37
1.790e+02 9.014e+15 1.075e+16 5.261e-37 1.123e-36 1.932e-37 3.517e-37
2.254e+02 1.097e+16 1.378e+16 6.725e-37 1.422e-36 2.464e-37 4.456e-37
2.837e+02 1.346e+16 1.621e+16 8.563e-37 1.800e-36 3.140e-37 5.636e-37
3.572e+02 1.682e+16 1.934e+16 1.088e-36 2.265e-36 3.982e-37 7.100e-37
4.496e+02 2.035e+16 2.241e+16 1.384e-36 2.853e-36 5.047e-37 8.951e-37
5.661e+02 2.458e+16 2.467e+16 1.758e-36 3.565e-36 6.390e-37 1.127e-36
7.126e+02 2.654e+16 2.460e+16 2.223e-36 4.485e-36 8.087e-37 1.411e-36
8.972e+02 2.552e+16 2.037e+16 2.810e-36 5.612e-36 1.023e-36 1.773e-36
1.129e+03 1.940e+16 1.126e+16 3.547e-36 7.026e-36 1.293e-36 2.226e-36
1.421e+03 5.782e+15 1.512e+15 4.485e-36 8.788e-36 1.630e-36 2.785e-36
