energy	numu_flux	    nue_flux	CCnue_cs	CCnumu_cs	NCnue_cs	NCnumu_cs
14.219093	16560000.0	22080000.0	2.3995e-38	6.191699999999999e-38	9.329e-39	1.9748999999999998e-38
17.900778	19440000.0	31200000.0	3.3758e-38	8.4775e-38	1.3033e-38	2.6913999999999997e-38
22.535744	30240000.0	41760000.0	4.6593e-38	1.1404799999999998e-37	1.7721e-38	3.611e-38
28.37082	38400000.0	54960000.0	6.2929e-38	1.5107999999999998e-37	2.3875e-38	4.777399999999999e-38
35.716747	56880000.0	72720000.0	8.445999999999999e-38	1.9776099999999997e-37	3.1757e-38	6.2335e-38
44.96472	76800000.0	93840000.0	1.1173799999999999e-37	2.58525e-37	4.1868e-38	8.117499999999999e-38
56.607229	89040000.0	108000000.0	1.46566e-37	3.3310499999999996e-37	5.474299999999999e-38	1.04733e-37
71.264279	126240000.0	147600000.0	1.91448e-37	4.2859699999999994e-37	7.111099999999999e-38	1.34743e-37
89.716412	159360000.0	185280000.0	2.4828199999999997e-37	5.491709999999999e-37	9.1701e-38	1.7205799999999998e-37
112.946271	194160000.0	241200000.0	3.1978e-37	6.99225e-37	1.1785599999999999e-37	2.18845e-37
142.19093	240480000.0	290160000.0	4.1171699999999995e-37	8.863199999999999e-37	1.51035e-37	2.7903499999999995e-37
179.007775	300480000.0	358320000.0	5.261289999999999e-37	1.1230709999999998e-36	1.93239e-37	3.5171999999999994e-37
225.357437	365520000.0	459360000.0	6.7247599999999996e-37	1.4219839999999998e-36	2.46378e-37	4.455529999999999e-37
283.708205	448560000.0	540480000.0	8.56277e-37	1.8004139999999998e-36	3.1401099999999998e-37	5.6363300000000005e-37
357.167468	560640000.0	644640000.0	1.0876039999999999e-36	2.265199e-36	3.9822699999999996e-37	7.10012e-37
449.647202	678240000.0	747120000.0	1.3836459999999998e-36	2.8527569999999998e-36	5.0468500000000004e-37	8.95064e-37
566.072289	819360000.0	822240000.0	1.757646e-36	3.564619e-36	6.3899999999999996e-37	1.1271249999999999e-36
712.64279	884640000.0	820080000.0	2.2227229999999997e-36	4.484841e-36	8.086719999999999e-37	1.411472e-36
897.164117	850800000.0	678960000.0	2.8097289999999997e-36	5.6117959999999994e-36	1.023412e-36	1.7725729999999998e-36
1129.462706	646800000.0	375360000.0	3.5473159999999994e-36	7.025631999999999e-36	1.292871e-36	2.225603e-36
1421.909302	192720000.0	50400000.0	4.485238e-36	8.788420999999999e-36	1.629763e-36	2.7848119999999998e-36
1790.077754	0.0	0.0	5.649194999999999e-36	1.0918940999999999e-35	2.0555189999999997e-36	3.481532e-36
2253.574373	0.0	0.0	7.102747e-36	1.3641738e-35	2.5882589999999996e-36	4.351411e-36
2837.082046	0.0	0.0	8.920351e-36	1.6978313e-35	3.2553329999999994e-36	5.4288319999999994e-36
3571.674683	0.0	0.0	1.1155728999999998e-35	2.0966494e-35	4.0886589999999995e-36	6.753566e-36
4496.472021	0.0	0.0	1.4027577e-35	2.5959019e-35	5.116103e-36	8.386001999999999e-36
5660.722891	0.0	0.0	1.7510826e-35	3.1896911e-35	6.419142999999999e-36	1.0391266999999999e-35
7126.427896	0.0	0.0	2.1798818e-35	3.9207623e-35	8.040728e-36	1.2854846999999998e-35
8971.641174	0.0	0.0	2.7133879e-35	4.7960326e-35	1.0021399e-35	1.5782861e-35
