energy	numu_flux	nuebar_flux	CC_nuebar	CC_numu	NC_nuebar	NC_numu	0.125GeV	19.95GeV	0.5GeV	1GeV	3.16GeV	7.94GeV	15.84GeV	0.001GeV	0.01GeV	25GeV	30GeV	40GeV	0.05GeV	21GeV	18GeV	17.5GeV	23GeV	16GeV
14.22	496800000000000.0	662400000000000.0	2.399e-38	6.192e-38	9.328999999999999e-39	1.975e-38	6.533099999999999e-43	0.0	2.4929e-43	4.0025e-44	0.0	0.0	0.0	1.33e-42	1.08e-42	0.0	0.0	0.0	8.8e-43	0.0	0.0	0.0	0.0	0.0
17.9	583200000000000.0	936000000000000.0	3.376e-38	8.478e-38	1.303e-38	2.691e-38	4.6606e-42	0.0	2.1593e-42	5.9898e-43	0.0	0.0	0.0	9.97e-42	7.6e-42	0.0	0.0	0.0	6.04e-42	0.0	0.0	0.0	0.0	0.0
22.54	907200000000000.0	1253000000000000.0	4.659e-38	1.14e-37	1.772e-38	3.611e-38	1.9143e-41	0.0	9.8785e-42	3.6223e-42	6.544e-46	0.0	0.0	4.35e-41	3.29e-41	0.0	0.0	0.0	2.5e-41	0.0	0.0	0.0	0.0	0.0
28.37	1152000000000000.0	1649000000000000.0	6.293e-38	1.511e-37	2.387e-38	4.777e-38	6.043400000000001e-41	0.0	3.2645e-41	1.4301e-41	5.247799999999999e-44	0.0	0.0	1.369999999999999e-40	1.01e-40	0.0	0.0	0.0	7.63e-41	0.0	0.0	0.0	0.0	0.0
35.72	1706000000000000.0	2182000000000000.0	8.446e-38	1.978e-37	3.176e-38	6.234e-38	1.447199999999999e-40	0.0	8.1382e-41	4.1082000000000005e-41	6.8198e-43	0.0	0.0	3.53e-40	2.57e-40	0.0	0.0	0.0	1.91e-40	0.0	0.0	0.0	0.0	0.0
44.96	2304000000000000.0	2815000000000000.0	1.117e-37	2.585e-37	4.187e-38	8.117e-38	3.1431e-40	0.0	1.8083999999999998e-40	9.9056e-41	4.1584e-42	0.0	0.0	7.789999999999999e-40	5.58e-40	0.0	0.0	0.0	4.15e-40	0.0	0.0	0.0	0.0	0.0
56.61	2671000000000000.0	3240000000000000.0	1.466e-37	3.331e-37	5.474e-38	1.047e-37	6.1405e-40	0.0	3.5329999999999998e-40	2.0343999999999996e-40	1.6159999999999999e-41	0.0	0.0	1.54e-39	1.1e-39	0.0	0.0	0.0	8.129999999999999e-40	0.0	0.0	0.0	0.0	0.0
71.26	3787000000000000.0	4428000000000000.0	1.914e-37	4.286e-37	7.111e-38	1.347e-37	1.1078e-39	0.0	6.2699e-40	3.900199999999999e-40	4.6399e-41	1.1313e-45	0.0	2.8e-39	2.02e-39	0.0	0.0	0.0	1.46e-39	0.0	0.0	0.0	0.0	0.0
89.72	4781000000000000.0	5558000000000000.0	2.483e-37	5.492e-37	9.169999999999999e-38	1.7209999999999999e-37	1.8841e-39	0.0	1.0878e-39	6.8623999999999995e-40	1.0807e-40	1.0013e-43	0.0	4.82e-39	3.45e-39	0.0	0.0	0.0	2.51e-39	0.0	0.0	0.0	0.0	0.0
112.9	5825000000000000.0	7236000000000000.0	3.198e-37	6.992e-37	1.179e-37	2.1879999999999998e-37	3.0644e-39	0.0	1.7961e-39	1.1495e-39	2.3168999999999997e-40	1.3037e-42	0.0	7.78e-39	5.58e-39	0.0	0.0	0.0	4.06e-39	0.0	0.0	0.0	0.0	0.0
