Energy,Cross_section_pb,pid,momentum,parent_pids,theta,phi
449.647202,7.6689e-07,,,,,
,,-13,"(-0.7114895509422621, -0.6636318388220134, 6.128602230005828, 6.206251197609611)","(14, 2)",0.15744111967911642,3.892202321594272
,,39,"(3.0362143365932113, -1.4771725532475222, 416.01133055672335, 416.50322307599197)","(39, 39)",0.008116145969306422,5.83038145253061
,,211,"(-0.4862236680955422, 1.0332096238906214, 5.630504670840928, 5.746825055243807)","(1, 2101)",0.20009215080693743,2.010644753016842
,,2112,"(-1.9093890227151267, 0.3846735248635784, 11.50508537561647, 11.70655890712211)","(1, 2101)",0.16770480897701362,2.9427896099368116
,,-211,"(0.08270649056688588, 0.09959916435781066, 0.5884802769327829, 0.6185056009136453)","(-213, 90)",0.21654404365311986,0.8777955928228129
,,22,"(-0.05767415282606092, 0.5353659259400019, 8.137918539321483, 8.155713404429688)","(111, 90)",0.06607092191428095,1.6781109313804847
,,22,"(0.045855567418908796, 0.08795615301753772, 1.6129952251948427, 1.616042268759798)","(111, 90)",0.06141807970804969,1.0902182987027753
,,,,,,
,,-13,"(0.4517260433554044, 0.1934821082967877, 33.810838597055714, 33.814574704056675)","(-13, 90)",0.014533312885550738,0.4046771260764031
,,39,"(2.136336393651663, -1.6190978521037944, 390.75934080594016, 391.2775931266687)","(39, 39)",0.00685977116002576,5.634656706480371
,,22,"(-0.03201484375318826, -0.010688112290190713, 0.4612576099311109, 0.4624908309190894)","(22, 22)",0.07304330880236638,3.463806919107891
,,2112,"(-1.0606289691804123, 0.6623992272351837, 5.838300055414967, 6.0441910847081)","(1, 2101)",0.21099805852758677,2.583328255473674
,,211,"(-0.09332927925249535, 0.016629684198316654, 1.4554959214270378, 1.4652423222638182)","(223, 90)",0.06504006840443959,2.965260318295573
,,-211,"(-0.5099529276545622, 0.21407019333247132, 6.195317583224983, 6.221520535850822)","(223, 90)",0.08903501995303921,2.7441480979349335
,,211,"(-0.09122940646971445, 0.06726478154925522, 0.6653198902675473, 0.6891862569199315)","(310, 90)",0.1687433529729498,2.506259698114837
,,-211,"(-0.17302644665271572, 0.21367167157180184, 5.380006922482817, 5.388835496221477)","(310, 90)",0.05106018847976907,2.2514706045153674
,,211,"(-0.18423394198228746, 0.15776491803490128, 1.0744139962490282, 1.1102599402737607)","(310, 90)",0.2220316879132565,2.4334355760137156
,,-211,"(0.19649845888853992, 0.00270138258215627, 0.7670897664039169, 0.8040680546042355)","(310, 90)",0.2507914800350912,0.013746735891611657
,,22,"(-0.022213195267681785, -0.02129970763516941, 0.19750128603322292, 0.19988462065431833)","(111, 90)",0.15457892855170563,3.9060004116675735
,,22,"(-0.6179318856825394, 0.12310170522828093, 3.010034440205127, 3.0752725369297402)","(111, 90)",0.20634530376728252,2.9449513854474922
,,,,,,
,,-13,"(-0.757137230855162, 0.3199244143711105, 31.957858340800996, 31.96860150496986)","(14, 2)",0.02571426539193902,2.741803402889143
,,39,"(2.0317699874503066, -2.191318801066953, 394.0227731084237, 394.53894958582555)","(39, 39)",0.007583946948099871,5.460024980461791
,,2212,"(-0.3673376434609299, 0.05770293295031091, 5.365091177877416, 5.459195958436791)","(1, 2101)",0.06919704506064947,2.98578171462179
,,2112,"(-1.0311135283566037, 0.9838975636057943, 9.533314598242857, 9.684943393639424)","(1114, 90)",0.14839974270713807,2.3796223146139237
