Energy,Cross_section_pb,Total_events,pid,momentum,parent_pids,theta,phi
14.219093,0.023994761761142135,959704.0,,,,,
,,,-11,"(1.3491894514306149, -0.16365769985374373, 5.042650376243915, 5.222587394838593)","(-12, -1)",0.2632614326160009,6.162474288568772
,,,-211,"(-0.5222418212543603, -0.6104879982113617, 1.3557339149868808, 1.5820639522386073)","(1, -2)",0.5349496273772207,4.004739536687906
,,,2212,"(0.33221283122465006, 0.3316593684154523, 1.461023535333599, 1.7986949895929338)","(2214, 90)",0.3108828831642606,0.784564474803059
,,,22,"(-0.0003692452971495279, 0.02875339716120257, 0.019955059084915377, 0.03500140816426952)","(221, 90)",0.9641424590954077,1.5836374182129789
,,,13,"(-0.6651649139346887, 0.1457991425527826, 3.0139381452783365, 3.0917129446089744)","(221, 90)",0.22220496283670324,2.92581272588385
,,,-13,"(-0.30454679063329415, 0.23898760910408978, 2.636750389883554, 2.6671108861727895)","(221, 90)",0.1457765516496703,2.476231056049453
,,,22,"(-0.19347549896570412, 0.03325201013070168, 0.46777280742498045, 0.5072966235290832)","(111, 90)",0.3973509819410005,2.971388716900789
,,,22,"(0.004395987429930196, -0.004305829299128853, -0.007133621557130425, 0.009420903776055447)","(111, 90)",2.429830423134494,5.508147613066626
,,,,,,,
,,,-11,"(1.3491894514306149, -0.16365769985374373, 5.042650376243915, 5.222587394838593)","(-12, -1)",0.2632614326160009,6.162474288568772
,,,-211,"(-0.5222418212543603, -0.6104879982113617, 1.3557339149868808, 1.5820639522386073)","(1, -2)",0.5349496273772207,4.004739536687906
,,,2212,"(0.33221283122465006, 0.3316593684154523, 1.461023535333599, 1.7986949895929338)","(2214, 90)",0.3108828831642606,0.784564474803059
,,,22,"(-0.0003692452971495279, 0.02875339716120257, 0.019955059084915377, 0.03500140816426952)","(221, 90)",0.9641424590954077,1.5836374182129789
,,,13,"(-0.6651649139346887, 0.1457991425527826, 3.0139381452783365, 3.0917129446089744)","(221, 90)",0.22220496283670324,2.92581272588385
,,,-13,"(-0.30454679063329415, 0.23898760910408978, 2.636750389883554, 2.6671108861727895)","(221, 90)",0.1457765516496703,2.476231056049453
,,,22,"(-0.19347549896570412, 0.03325201013070168, 0.46777280742498045, 0.5072966235290832)","(111, 90)",0.3973509819410005,2.971388716900789
,,,22,"(0.004395987429930196, -0.004305829299128853, -0.007133621557130425, 0.009420903776055447)","(111, 90)",2.429830423134494,5.508147613066626
,,,,,,,
,,,-11,"(1.3491894514306149, -0.16365769985374373, 5.042650376243915, 5.222587394838593)","(-12, -1)",0.2632614326160009,6.162474288568772
