Events for energy 56.607229 GeV:
Cross section pb: 0.14656614455687686
Total number of events: 996200

pid = -11, p = (-1.7210632340536536, -1.2151376390101722, 32.367972043076605, 32.43646455117852), Parent_PIDs = (-11, 90), theta = 0.06499743445153389, phi = 3.7563601010200918
pid = 22, p = (-0.02702770406946174, -0.026360772424878606, 0.1790578267563138, 0.18299478799352925), Parent_PIDs = (22, 22), theta = 0.20780592031434064, phi = 3.9144994143521514
pid = -211, p = (0.40704424529851685, -0.14992071936633963, 10.312563264618257, 10.322625737252125), Parent_PIDs = (1, -2), theta = 0.04203804623542659, phi = 5.930287828675569
pid = 2112, p = (0.4548813911251512, 0.3281920213304601, 0.7699198148255877, 1.3379818343378174), Parent_PIDs = (2214, 90), theta = 0.6296237241296057, phi = 0.6250031447761796
pid = 211, p = (0.27060011593881284, -0.01421748501785855, 0.5705157310125001, 0.6468342475928891), Parent_PIDs = (2214, 90), theta = 0.4434174219050953, phi = 6.230693001021247
pid = 211, p = (0.13016298754720151, 0.2211880769308202, 1.0869357783293991, 1.1255113237174044), Parent_PIDs = (331, 90), theta = 0.2318709487334207, phi = 1.0388964299487062
pid = -211, p = (0.006643741751047233, 0.19234405883711664, 0.8836586345484331, 0.9150807306387737), Parent_PIDs = (331, 90), theta = 0.21444864997982732, phi = 1.536269128403129
pid = 22, p = (0.16088892742062624, 0.1936863971681211, 1.1460396840603722, 1.173374034507209), Parent_PIDs = (221, 90), theta = 0.21627078513274445, phi = 0.8776336007948375
pid = 13, p = (0.15456928218232427, 0.14052472618131528, 0.8651383337533686, 0.8962517691989519), Parent_PIDs = (221, 90), theta = 0.23692813501519305, phi = 0.7378405522899878
pid = -13, p = (0.16330024685943254, 0.3297013353713954, 4.4191880920034095, 4.435736395377296), Parent_PIDs = (221, 90), theta = 0.08306502004636745, phi = 1.1109177903265306

pid = -11, p = (-1.7210632340536536, -1.2151376390101722, 32.367972043076605, 32.43646455117852), Parent_PIDs = (-11, 90), theta = 0.06499743445153389, phi = 3.7563601010200918
pid = 22, p = (-0.02702770406946174, -0.026360772424878606, 0.1790578267563138, 0.18299478799352925), Parent_PIDs = (22, 22), theta = 0.20780592031434064, phi = 3.9144994143521514
pid = -211, p = (0.40704424529851685, -0.14992071936633963, 10.312563264618257, 10.322625737252125), Parent_PIDs = (1, -2), theta = 0.04203804623542659, phi = 5.930287828675569
pid = 2112, p = (0.4548813911251512, 0.3281920213304601, 0.7699198148255877, 1.3379818343378174), Parent_PIDs = (2214, 90), theta = 0.6296237241296057, phi = 0.6250031447761796
pid = 211, p = (0.27060011593881284, -0.01421748501785855, 0.5705157310125001, 0.6468342475928891), Parent_PIDs = (2214, 90), theta = 0.4434174219050953, phi = 6.230693001021247
pid = 211, p = (0.13016298754720151, 0.2211880769308202, 1.0869357783293991, 1.1255113237174044), Parent_PIDs = (331, 90), theta = 0.2318709487334207, phi = 1.0388964299487062
pid = -211, p = (0.006643741751047233, 0.19234405883711664, 0.8836586345484331, 0.9150807306387737), Parent_PIDs = (331, 90), theta = 0.21444864997982732, phi = 1.536269128403129
pid = 22, p = (0.16088892742062624, 0.1936863971681211, 1.1460396840603722, 1.173374034507209), Parent_PIDs = (221, 90), theta = 0.21627078513274445, phi = 0.8776336007948375
pid = 13, p = (0.15456928218232427, 0.14052472618131528, 0.8651383337533686, 0.8962517691989519), Parent_PIDs = (221, 90), theta = 0.23692813501519305, phi = 0.7378405522899878
pid = -13, p = (0.16330024685943254, 0.3297013353713954, 4.4191880920034095, 4.435736395377296), Parent_PIDs = (221, 90), theta = 0.08306502004636745, phi = 1.1109177903265306

pid = -11, p = (-1.7210632340536536, -1.2151376390101722, 32.367972043076605, 32.43646455117852), Parent_PIDs = (-11, 90), theta = 0.06499743445153389, phi = 3.7563601010200918
pid = 22, p = (-0.02702770406946174, -0.026360772424878606, 0.1790578267563138, 0.18299478799352925), Parent_PIDs = (22, 22), theta = 0.20780592031434064, phi = 3.9144994143521514
pid = -211, p = (0.40704424529851685, -0.14992071936633963, 10.312563264618257, 10.322625737252125), Parent_PIDs = (1, -2), theta = 0.04203804623542659, phi = 5.930287828675569
pid = 2112, p = (0.4548813911251512, 0.3281920213304601, 0.7699198148255877, 1.3379818343378174), Parent_PIDs = (2214, 90), theta = 0.6296237241296057, phi = 0.6250031447761796
pid = 211, p = (0.27060011593881284, -0.01421748501785855, 0.5705157310125001, 0.6468342475928891), Parent_PIDs = (2214, 90), theta = 0.4434174219050953, phi = 6.230693001021247
pid = 211, p = (0.13016298754720151, 0.2211880769308202, 1.0869357783293991, 1.1255113237174044), Parent_PIDs = (331, 90), theta = 0.2318709487334207, phi = 1.0388964299487062
pid = -211, p = (0.006643741751047233, 0.19234405883711664, 0.8836586345484331, 0.9150807306387737), Parent_PIDs = (331, 90), theta = 0.21444864997982732, phi = 1.536269128403129
pid = 22, p = (0.16088892742062624, 0.1936863971681211, 1.1460396840603722, 1.173374034507209), Parent_PIDs = (221, 90), theta = 0.21627078513274445, phi = 0.8776336007948375
pid = 13, p = (0.15456928218232427, 0.14052472618131528, 0.8651383337533686, 0.8962517691989519), Parent_PIDs = (221, 90), theta = 0.23692813501519305, phi = 0.7378405522899878
pid = -13, p = (0.16330024685943254, 0.3297013353713954, 4.4191880920034095, 4.435736395377296), Parent_PIDs = (221, 90), theta = 0.08306502004636745, phi = 1.1109177903265306

pid = -11, p = (-1.7210632340536536, -1.2151376390101722, 32.367972043076605, 32.43646455117852), Parent_PIDs = (-11, 90), theta = 0.06499743445153389, phi = 3.7563601010200918
pid = 22, p = (-0.02702770406946174, -0.026360772424878606, 0.1790578267563138, 0.18299478799352925), Parent_PIDs = (22, 22), theta = 0.20780592031434064, phi = 3.9144994143521514
pid = -211, p = (0.40704424529851685, -0.14992071936633963, 10.312563264618257, 10.322625737252125), Parent_PIDs = (1, -2), theta = 0.04203804623542659, phi = 5.930287828675569
pid = 2112, p = (0.4548813911251512, 0.3281920213304601, 0.7699198148255877, 1.3379818343378174), Parent_PIDs = (2214, 90), theta = 0.6296237241296057, phi = 0.6250031447761796
pid = 211, p = (0.27060011593881284, -0.01421748501785855, 0.5705157310125001, 0.6468342475928891), Parent_PIDs = (2214, 90), theta = 0.4434174219050953, phi = 6.230693001021247
pid = 211, p = (0.13016298754720151, 0.2211880769308202, 1.0869357783293991, 1.1255113237174044), Parent_PIDs = (331, 90), theta = 0.2318709487334207, phi = 1.0388964299487062
pid = -211, p = (0.006643741751047233, 0.19234405883711664, 0.8836586345484331, 0.9150807306387737), Parent_PIDs = (331, 90), theta = 0.21444864997982732, phi = 1.536269128403129
pid = 22, p = (0.16088892742062624, 0.1936863971681211, 1.1460396840603722, 1.173374034507209), Parent_PIDs = (221, 90), theta = 0.21627078513274445, phi = 0.8776336007948375
pid = 13, p = (0.15456928218232427, 0.14052472618131528, 0.8651383337533686, 0.8962517691989519), Parent_PIDs = (221, 90), theta = 0.23692813501519305, phi = 0.7378405522899878
pid = -13, p = (0.16330024685943254, 0.3297013353713954, 4.4191880920034095, 4.435736395377296), Parent_PIDs = (221, 90), theta = 0.08306502004636745, phi = 1.1109177903265306

pid = -11, p = (-1.7210632340536536, -1.2151376390101722, 32.367972043076605, 32.43646455117852), Parent_PIDs = (-11, 90), theta = 0.06499743445153389, phi = 3.7563601010200918
pid = 22, p = (-0.02702770406946174, -0.026360772424878606, 0.1790578267563138, 0.18299478799352925), Parent_PIDs = (22, 22), theta = 0.20780592031434064, phi = 3.9144994143521514
pid = -211, p = (0.40704424529851685, -0.14992071936633963, 10.312563264618257, 10.322625737252125), Parent_PIDs = (1, -2), theta = 0.04203804623542659, phi = 5.930287828675569
pid = 2112, p = (0.4548813911251512, 0.3281920213304601, 0.7699198148255877, 1.3379818343378174), Parent_PIDs = (2214, 90), theta = 0.6296237241296057, phi = 0.6250031447761796
