Events for energy 71.264279 GeV:
Cross section pb: 0.1914476812678741
Total number of events: 997184

pid = -11, p = (-0.2670777804636423, -1.6149424564672743, 23.591542873076666, 23.64826135410072), Parent_PIDs = (-11, -11), theta = 0.06927308106188079, phi = 4.548493301092918
pid = 2112, p = (0.31901086410739804, 0.00823825340767842, 1.4405987143262227, 1.749271917357654), Parent_PIDs = (2212, 90), theta = 0.21799688627418093, phi = 0.025818627855265678
pid = 22, p = (-0.08736269930121791, -0.060123901616237554, 1.028324914619344, 1.0337791131579486), Parent_PIDs = (221, 90), theta = 0.10276795667871322, phi = 3.7443621043331765
pid = 13, p = (-0.038304978442557716, -0.0224798977519231, 0.417022758526159, 0.43248657078016417), Parent_PIDs = (221, 90), theta = 0.10610298789976352, phi = 3.6722989822472876
pid = -13, p = (-0.18142199688438493, 0.4100022735899705, 2.992354186201749, 3.027600273579984), Parent_PIDs = (221, 90), theta = 0.14872480676147828, phi = 1.9873875965668697
pid = 211, p = (0.10136636611939359, 0.09196600110731286, 0.26100715454265266, 0.32609416609680847), Parent_PIDs = (221, 90), theta = 0.4829644480175364, phi = 0.7368136061919258
pid = -211, p = (0.20555429493106442, -0.05539535469642565, 0.38870623900333523, 0.46464345322695233), Parent_PIDs = (221, 90), theta = 0.5010625768550913, phi = 6.019946487251431
pid = 211, p = (0.11157326868836986, 0.34933365174372044, 5.142325372971671, 5.157273758579685), Parent_PIDs = (223, 90), theta = 0.07119326005285793, phi = 1.2616478738819528
pid = -211, p = (-0.05598339392329817, 0.6016233324415079, 5.413272494248938, 5.448677239149452), Parent_PIDs = (223, 90), theta = 0.11115859489171062, phi = 1.6635830224305845
pid = 22, p = (0.06164873215526353, 0.07307129703928383, 0.5898590721092695, 0.5975564455153689), Parent_PIDs = (111, 90), theta = 0.16068084487491807, phi = 0.8699832877534889
pid = 22, p = (-0.021849279951908638, -0.014234017434016732, 0.025676790593405656, 0.03659639137819947), Parent_PIDs = (111, 90), theta = 0.7931266782329237, phi = 3.7189962993632286
pid = 22, p = (-0.06120340583365018, 0.13489166966207744, 5.279779710283076, 5.281857193123145), Parent_PIDs = (111, 90), theta = 0.028048176321341288, phi = 1.9967416953111925
pid = 22, p = (-0.08594999120081917, 0.09804914897432156, 1.8955550417924745, 1.9000341978677322), Parent_PIDs = (111, 90), theta = 0.0686780160864513, phi = 2.2905324211947

pid = -11, p = (-0.2670777804636423, -1.6149424564672743, 23.591542873076666, 23.64826135410072), Parent_PIDs = (-11, -11), theta = 0.06927308106188079, phi = 4.548493301092918
pid = 2112, p = (0.31901086410739804, 0.00823825340767842, 1.4405987143262227, 1.749271917357654), Parent_PIDs = (2212, 90), theta = 0.21799688627418093, phi = 0.025818627855265678
pid = 22, p = (-0.08736269930121791, -0.060123901616237554, 1.028324914619344, 1.0337791131579486), Parent_PIDs = (221, 90), theta = 0.10276795667871322, phi = 3.7443621043331765
pid = 13, p = (-0.038304978442557716, -0.0224798977519231, 0.417022758526159, 0.43248657078016417), Parent_PIDs = (221, 90), theta = 0.10610298789976352, phi = 3.6722989822472876
pid = -13, p = (-0.18142199688438493, 0.4100022735899705, 2.992354186201749, 3.027600273579984), Parent_PIDs = (221, 90), theta = 0.14872480676147828, phi = 1.9873875965668697
pid = 211, p = (0.10136636611939359, 0.09196600110731286, 0.26100715454265266, 0.32609416609680847), Parent_PIDs = (221, 90), theta = 0.4829644480175364, phi = 0.7368136061919258
pid = -211, p = (0.20555429493106442, -0.05539535469642565, 0.38870623900333523, 0.46464345322695233), Parent_PIDs = (221, 90), theta = 0.5010625768550913, phi = 6.019946487251431
pid = 211, p = (0.11157326868836986, 0.34933365174372044, 5.142325372971671, 5.157273758579685), Parent_PIDs = (223, 90), theta = 0.07119326005285793, phi = 1.2616478738819528
pid = -211, p = (-0.05598339392329817, 0.6016233324415079, 5.413272494248938, 5.448677239149452), Parent_PIDs = (223, 90), theta = 0.11115859489171062, phi = 1.6635830224305845
pid = 22, p = (0.06164873215526353, 0.07307129703928383, 0.5898590721092695, 0.5975564455153689), Parent_PIDs = (111, 90), theta = 0.16068084487491807, phi = 0.8699832877534889
pid = 22, p = (-0.021849279951908638, -0.014234017434016732, 0.025676790593405656, 0.03659639137819947), Parent_PIDs = (111, 90), theta = 0.7931266782329237, phi = 3.7189962993632286
pid = 22, p = (-0.06120340583365018, 0.13489166966207744, 5.279779710283076, 5.281857193123145), Parent_PIDs = (111, 90), theta = 0.028048176321341288, phi = 1.9967416953111925
pid = 22, p = (-0.08594999120081917, 0.09804914897432156, 1.8955550417924745, 1.9000341978677322), Parent_PIDs = (111, 90), theta = 0.0686780160864513, phi = 2.2905324211947

pid = -11, p = (-0.2670777804636423, -1.6149424564672743, 23.591542873076666, 23.64826135410072), Parent_PIDs = (-11, -11), theta = 0.06927308106188079, phi = 4.548493301092918
pid = 2112, p = (0.31901086410739804, 0.00823825340767842, 1.4405987143262227, 1.749271917357654), Parent_PIDs = (2212, 90), theta = 0.21799688627418093, phi = 0.025818627855265678
pid = 22, p = (-0.08736269930121791, -0.060123901616237554, 1.028324914619344, 1.0337791131579486), Parent_PIDs = (221, 90), theta = 0.10276795667871322, phi = 3.7443621043331765
pid = 13, p = (-0.038304978442557716, -0.0224798977519231, 0.417022758526159, 0.43248657078016417), Parent_PIDs = (221, 90), theta = 0.10610298789976352, phi = 3.6722989822472876
pid = -13, p = (-0.18142199688438493, 0.4100022735899705, 2.992354186201749, 3.027600273579984), Parent_PIDs = (221, 90), theta = 0.14872480676147828, phi = 1.9873875965668697
pid = 211, p = (0.10136636611939359, 0.09196600110731286, 0.26100715454265266, 0.32609416609680847), Parent_PIDs = (221, 90), theta = 0.4829644480175364, phi = 0.7368136061919258
pid = -211, p = (0.20555429493106442, -0.05539535469642565, 0.38870623900333523, 0.46464345322695233), Parent_PIDs = (221, 90), theta = 0.5010625768550913, phi = 6.019946487251431
pid = 211, p = (0.11157326868836986, 0.34933365174372044, 5.142325372971671, 5.157273758579685), Parent_PIDs = (223, 90), theta = 0.07119326005285793, phi = 1.2616478738819528
pid = -211, p = (-0.05598339392329817, 0.6016233324415079, 5.413272494248938, 5.448677239149452), Parent_PIDs = (223, 90), theta = 0.11115859489171062, phi = 1.6635830224305845
pid = 22, p = (0.06164873215526353, 0.07307129703928383, 0.5898590721092695, 0.5975564455153689), Parent_PIDs = (111, 90), theta = 0.16068084487491807, phi = 0.8699832877534889
pid = 22, p = (-0.021849279951908638, -0.014234017434016732, 0.025676790593405656, 0.03659639137819947), Parent_PIDs = (111, 90), theta = 0.7931266782329237, phi = 3.7189962993632286
pid = 22, p = (-0.06120340583365018, 0.13489166966207744, 5.279779710283076, 5.281857193123145), Parent_PIDs = (111, 90), theta = 0.028048176321341288, phi = 1.9967416953111925
pid = 22, p = (-0.08594999120081917, 0.09804914897432156, 1.8955550417924745, 1.9000341978677322), Parent_PIDs = (111, 90), theta = 0.0686780160864513, phi = 2.2905324211947

pid = -11, p = (-0.2670777804636423, -1.6149424564672743, 23.591542873076666, 23.64826135410072), Parent_PIDs = (-11, -11), theta = 0.06927308106188079, phi = 4.548493301092918
pid = 2112, p = (0.31901086410739804, 0.00823825340767842, 1.4405987143262227, 1.749271917357654), Parent_PIDs = (2212, 90), theta = 0.21799688627418093, phi = 0.025818627855265678
pid = 22, p = (-0.08736269930121791, -0.060123901616237554, 1.028324914619344, 1.0337791131579486), Parent_PIDs = (221, 90), theta = 0.10276795667871322, phi = 3.7443621043331765
pid = 13, p = (-0.038304978442557716, -0.0224798977519231, 0.417022758526159, 0.43248657078016417), Parent_PIDs = (221, 90), theta = 0.10610298789976352, phi = 3.6722989822472876
pid = -13, p = (-0.18142199688438493, 0.4100022735899705, 2.992354186201749, 3.027600273579984), Parent_PIDs = (221, 90), theta = 0.14872480676147828, phi = 1.9873875965668697
pid = 211, p = (0.10136636611939359, 0.09196600110731286, 0.26100715454265266, 0.32609416609680847), Parent_PIDs = (221, 90), theta = 0.4829644480175364, phi = 0.7368136061919258
pid = -211, p = (0.20555429493106442, -0.05539535469642565, 0.38870623900333523, 0.46464345322695233), Parent_PIDs = (221, 90), theta = 0.5010625768550913, phi = 6.019946487251431
pid = 211, p = (0.11157326868836986, 0.34933365174372044, 5.142325372971671, 5.157273758579685), Parent_PIDs = (223, 90), theta = 0.07119326005285793, phi = 1.2616478738819528
pid = -211, p = (-0.05598339392329817, 0.6016233324415079, 5.413272494248938, 5.448677239149452), Parent_PIDs = (223, 90), theta = 0.11115859489171062, phi = 1.6635830224305845
pid = 22, p = (0.06164873215526353, 0.07307129703928383, 0.5898590721092695, 0.5975564455153689), Parent_PIDs = (111, 90), theta = 0.16068084487491807, phi = 0.8699832877534889
pid = 22, p = (-0.021849279951908638, -0.014234017434016732, 0.025676790593405656, 0.03659639137819947), Parent_PIDs = (111, 90), theta = 0.7931266782329237, phi = 3.7189962993632286
pid = 22, p = (-0.06120340583365018, 0.13489166966207744, 5.279779710283076, 5.281857193123145), Parent_PIDs = (111, 90), theta = 0.028048176321341288, phi = 1.9967416953111925
pid = 22, p = (-0.08594999120081917, 0.09804914897432156, 1.8955550417924745, 1.9000341978677322), Parent_PIDs = (111, 90), theta = 0.0686780160864513, phi = 2.2905324211947

pid = -11, p = (-0.2670777804636423, -1.6149424564672743, 23.591542873076666, 23.64826135410072), Parent_PIDs = (-11, -11), theta = 0.06927308106188079, phi = 4.548493301092918
pid = 2112, p = (0.31901086410739804, 0.00823825340767842, 1.4405987143262227, 1.749271917357654), Parent_PIDs = (2212, 90), theta = 0.21799688627418093, phi = 0.025818627855265678
pid = 22, p = (-0.08736269930121791, -0.060123901616237554, 1.028324914619344, 1.0337791131579486), Parent_PIDs = (221, 90), theta = 0.10276795667871322, phi = 3.7443621043331765
pid = 13, p = (-0.038304978442557716, -0.0224798977519231, 0.417022758526159, 0.43248657078016417), Parent_PIDs = (221, 90), theta = 0.10610298789976352, phi = 3.6722989822472876
