Events for energy 89.716412 GeV:
Cross section pb: 0.2482821978359315
Total number of events: 997984

pid = -11, p = (1.184231009136266, 0.4421959443608851, 21.45702432814239, 21.49422791392667), Parent_PIDs = (-12, 2), theta = 0.05884493666767134, phi = 0.35737022099567284
pid = 2112, p = (-0.36424804455491694, -0.49917289408875093, 2.393173015792116, 2.644223720597512), Parent_PIDs = (1, 2101), theta = 0.25269031725358543, phi = 4.082004888272065
pid = 22, p = (-0.35696362908542423, -0.17687564358605004, 3.879118177642856, 3.899521234959882), Parent_PIDs = (221, 90), theta = 0.10234026075386121, phi = 3.6016341584989315
pid = 13, p = (-0.12868392097833808, 0.004125400155666905, 1.6216707118903153, 1.630201369109854), Parent_PIDs = (221, 90), theta = 0.07922726289995803, phi = 3.109545232944665
pid = -13, p = (-0.33433541451758975, 0.2297271931582497, 3.4232096070436366, 3.4487799004913127), Parent_PIDs = (221, 90), theta = 0.11795086548229272, phi = 2.539566147184506

pid = -11, p = (1.184231009136266, 0.4421959443608851, 21.45702432814239, 21.49422791392667), Parent_PIDs = (-12, 2), theta = 0.05884493666767134, phi = 0.35737022099567284
pid = 2112, p = (-0.36424804455491694, -0.49917289408875093, 2.393173015792116, 2.644223720597512), Parent_PIDs = (1, 2101), theta = 0.25269031725358543, phi = 4.082004888272065
pid = 22, p = (-0.35696362908542423, -0.17687564358605004, 3.879118177642856, 3.899521234959882), Parent_PIDs = (221, 90), theta = 0.10234026075386121, phi = 3.6016341584989315
pid = 13, p = (-0.12868392097833808, 0.004125400155666905, 1.6216707118903153, 1.630201369109854), Parent_PIDs = (221, 90), theta = 0.07922726289995803, phi = 3.109545232944665
pid = -13, p = (-0.33433541451758975, 0.2297271931582497, 3.4232096070436366, 3.4487799004913127), Parent_PIDs = (221, 90), theta = 0.11795086548229272, phi = 2.539566147184506

pid = -11, p = (1.184231009136266, 0.4421959443608851, 21.45702432814239, 21.49422791392667), Parent_PIDs = (-12, 2), theta = 0.05884493666767134, phi = 0.35737022099567284
pid = 2112, p = (-0.36424804455491694, -0.49917289408875093, 2.393173015792116, 2.644223720597512), Parent_PIDs = (1, 2101), theta = 0.25269031725358543, phi = 4.082004888272065
pid = 22, p = (-0.35696362908542423, -0.17687564358605004, 3.879118177642856, 3.899521234959882), Parent_PIDs = (221, 90), theta = 0.10234026075386121, phi = 3.6016341584989315
