Energy,Cross_section_pb,Total_events,pid,momentum,parent_pids,theta,phi
112.946271,0.3197802059906339,998384.0,,,,,
,,,-11,"(0.8516065697595889, -0.3420786292186483, 32.439966122838804, 32.45294522613126)","(-11, 90)",0.028282949087778925,5.9012261325489455
,,,13,"(-0.06313976918390315, -0.06093226652897347, 2.1454074314946174, 2.1497991660313955)","(13, 13)",0.040876704538422674,3.909200589305861
,,,-13,"(-0.0521207667659273, 1.07334569296598, 14.63367393840486, 14.673457824319613)","(-13, -13)",0.07330250853756484,1.6193173747508036
,,,22,"(0.299054477655539, -0.11584339365130777, 6.036481391265348, 6.044994694749642)","(22, 22)",0.05307830866022099,5.9136179457453375
,,,22,"(8.897768323164143e-05, -3.613574606398176e-05, 0.0017717939309505424, 0.001774394700738831)","(22, 22)",0.05414943109995651,5.897412979169311
,,,-211,"(0.5523429685269682, -0.4660551770141411, 17.902917714042122, 17.91804209849854)","(1, -2)",0.04034561896536311,5.582314192756052
,,,2212,"(-0.47802421744319024, -0.21651462146694805, 1.015780098594179, 1.4790353394598594)","(2214, 90)",0.47685484907524595,3.5668858997198445
,,,22,"(-0.3458738806815223, -0.005121266734419955, 7.1369394217590205, 7.1453172972631975)","(111, 90)",0.04842990674962949,3.1563983177580193
,,,22,"(-0.5506559167459903, -0.08091900543990274, 8.697264679981945, 8.715054947488868)","(111, 90)",0.06390650662171166,3.2874986003374547
,,,22,"(-0.2255519376101568, 0.18389167861167263, 0.21618606752436365, 0.36252757386709644)","(111, 90)",0.9318748711332633,2.4575939936804105
,,,22,"(0.012273494805362807, 0.030263124222752666, -0.0003096590097910676, 0.03265870865728392)","(111, 90)",1.580278136166372,1.1855065613212377
,,,,,,,
,,,-11,"(0.8516065697595889, -0.3420786292186483, 32.439966122838804, 32.45294522613126)","(-11, 90)",0.028282949087778925,5.9012261325489455
,,,13,"(-0.06313976918390315, -0.06093226652897347, 2.1454074314946174, 2.1497991660313955)","(13, 13)",0.040876704538422674,3.909200589305861
,,,-13,"(-0.0521207667659273, 1.07334569296598, 14.63367393840486, 14.673457824319613)","(-13, -13)",0.07330250853756484,1.6193173747508036
,,,22,"(0.299054477655539, -0.11584339365130777, 6.036481391265348, 6.044994694749642)","(22, 22)",0.05307830866022099,5.9136179457453375
,,,22,"(8.897768323164143e-05, -3.613574606398176e-05, 0.0017717939309505424, 0.001774394700738831)","(22, 22)",0.05414943109995651,5.897412979169311
,,,-211,"(0.5523429685269682, -0.4660551770141411, 17.902917714042122, 17.91804209849854)","(1, -2)",0.04034561896536311,5.582314192756052
,,,2212,"(-0.47802421744319024, -0.21651462146694805, 1.015780098594179, 1.4790353394598594)","(2214, 90)",0.47685484907524595,3.5668858997198445
,,,22,"(-0.3458738806815223, -0.005121266734419955, 7.1369394217590205, 7.1453172972631975)","(111, 90)",0.04842990674962949,3.1563983177580193
,,,22,"(-0.5506559167459903, -0.08091900543990274, 8.697264679981945, 8.715054947488868)","(111, 90)",0.06390650662171166,3.2874986003374547
,,,22,"(-0.2255519376101568, 0.18389167861167263, 0.21618606752436365, 0.36252757386709644)","(111, 90)",0.9318748711332633,2.4575939936804105
,,,22,"(0.012273494805362807, 0.030263124222752666, -0.0003096590097910676, 0.03265870865728392)","(111, 90)",1.580278136166372,1.1855065613212377
,,,,,,,
