Events for energy 28.37082 GeV:
Cross section pb: 0.023874881075047594
Total number of events: 984032

pid = -12, p = (-0.6756783198463853, -0.41949173434481585, 5.146342596100682, 5.207432824678046), Parent_PIDs = (-12, 2), theta = 0.1533255469643309, phi = 3.69719876609002
pid = 2112, p = (-0.31705794400747994, 0.03313348956338641, 5.736499385933034, 5.82166991143426), Parent_PIDs = (2, 2101), theta = 0.055514164427631754, phi = 3.0374676539067913
pid = 2112, p = (0.05039756524909812, 0.30620164666960525, 5.781166318966418, 5.865234450169741), Parent_PIDs = (3122, 90), theta = 0.05362652412734496, phi = 1.407669388585117
pid = 14, p = (0.050628227396384264, 0.08268731030941256, 0.5566526943893098, 0.5650333006703083), Parent_PIDs = (-3112, 90), theta = 0.1724463277704885, phi = 1.0213924313053955
pid = -13, p = (0.000811771098319515, -0.014062796786796724, 0.1935999146703604, 0.22100539311553824), Parent_PIDs = (-3112, 90), theta = 0.07263137748058512, phi = 4.770049719063071
pid = -2112, p = (0.5086721969484258, 0.09358832446356444, 5.776762961090113, 5.875481960822178), Parent_PIDs = (-3112, 90), theta = 0.0892947485901489, phi = 0.18195069113008294
pid = 22, p = (0.1398070963063027, 0.005156822255016584, 0.05627833861537637, 0.15079744159194688), Parent_PIDs = (111, 90), theta = 1.188335244838722, phi = 0.03686855417190935
pid = 22, p = (0.23736211701529747, -0.01864376385747106, -0.07826564839803768, 0.25062696631432596), Parent_PIDs = (111, 90), theta = 1.8883878498421562, phi = 6.204800580141311
pid = 22, p = (0.03193491599572392, -0.04317807238075551, 0.1315288801248396, 0.14207051453790864), Parent_PIDs = (111, 90), theta = 0.38764990379620834, phi = 5.34920698832627
pid = 22, p = (-0.026877626155686705, -0.025391225891142878, 0.8762425989904734, 0.8770223562860866), Parent_PIDs = (111, 90), theta = 0.04217174500680081, phi = 3.898560887528827

pid = -12, p = (-0.6756783198463853, -0.41949173434481585, 5.146342596100682, 5.207432824678046), Parent_PIDs = (-12, 2), theta = 0.1533255469643309, phi = 3.69719876609002
pid = 2112, p = (-0.31705794400747994, 0.03313348956338641, 5.736499385933034, 5.82166991143426), Parent_PIDs = (2, 2101), theta = 0.055514164427631754, phi = 3.0374676539067913
pid = 2112, p = (0.05039756524909812, 0.30620164666960525, 5.781166318966418, 5.865234450169741), Parent_PIDs = (3122, 90), theta = 0.05362652412734496, phi = 1.407669388585117
pid = 14, p = (0.050628227396384264, 0.08268731030941256, 0.5566526943893098, 0.5650333006703083), Parent_PIDs = (-3112, 90), theta = 0.1724463277704885, phi = 1.0213924313053955
pid = -13, p = (0.000811771098319515, -0.014062796786796724, 0.1935999146703604, 0.22100539311553824), Parent_PIDs = (-3112, 90), theta = 0.07263137748058512, phi = 4.770049719063071
pid = -2112, p = (0.5086721969484258, 0.09358832446356444, 5.776762961090113, 5.875481960822178), Parent_PIDs = (-3112, 90), theta = 0.0892947485901489, phi = 0.18195069113008294
pid = 22, p = (0.1398070963063027, 0.005156822255016584, 0.05627833861537637, 0.15079744159194688), Parent_PIDs = (111, 90), theta = 1.188335244838722, phi = 0.03686855417190935
pid = 22, p = (0.23736211701529747, -0.01864376385747106, -0.07826564839803768, 0.25062696631432596), Parent_PIDs = (111, 90), theta = 1.8883878498421562, phi = 6.204800580141311
pid = 22, p = (0.03193491599572392, -0.04317807238075551, 0.1315288801248396, 0.14207051453790864), Parent_PIDs = (111, 90), theta = 0.38764990379620834, phi = 5.34920698832627
pid = 22, p = (-0.026877626155686705, -0.025391225891142878, 0.8762425989904734, 0.8770223562860866), Parent_PIDs = (111, 90), theta = 0.04217174500680081, phi = 3.898560887528827

pid = -12, p = (-0.6756783198463853, -0.41949173434481585, 5.146342596100682, 5.207432824678046), Parent_PIDs = (-12, 2), theta = 0.1533255469643309, phi = 3.69719876609002
pid = 2112, p = (-0.31705794400747994, 0.03313348956338641, 5.736499385933034, 5.82166991143426), Parent_PIDs = (2, 2101), theta = 0.055514164427631754, phi = 3.0374676539067913
pid = 2112, p = (0.05039756524909812, 0.30620164666960525, 5.781166318966418, 5.865234450169741), Parent_PIDs = (3122, 90), theta = 0.05362652412734496, phi = 1.407669388585117
pid = 14, p = (0.050628227396384264, 0.08268731030941256, 0.5566526943893098, 0.5650333006703083), Parent_PIDs = (-3112, 90), theta = 0.1724463277704885, phi = 1.0213924313053955
pid = -13, p = (0.000811771098319515, -0.014062796786796724, 0.1935999146703604, 0.22100539311553824), Parent_PIDs = (-3112, 90), theta = 0.07263137748058512, phi = 4.770049719063071
pid = -2112, p = (0.5086721969484258, 0.09358832446356444, 5.776762961090113, 5.875481960822178), Parent_PIDs = (-3112, 90), theta = 0.0892947485901489, phi = 0.18195069113008294
pid = 22, p = (0.1398070963063027, 0.005156822255016584, 0.05627833861537637, 0.15079744159194688), Parent_PIDs = (111, 90), theta = 1.188335244838722, phi = 0.03686855417190935
pid = 22, p = (0.23736211701529747, -0.01864376385747106, -0.07826564839803768, 0.25062696631432596), Parent_PIDs = (111, 90), theta = 1.8883878498421562, phi = 6.204800580141311
pid = 22, p = (0.03193491599572392, -0.04317807238075551, 0.1315288801248396, 0.14207051453790864), Parent_PIDs = (111, 90), theta = 0.38764990379620834, phi = 5.34920698832627
pid = 22, p = (-0.026877626155686705, -0.025391225891142878, 0.8762425989904734, 0.8770223562860866), Parent_PIDs = (111, 90), theta = 0.04217174500680081, phi = 3.898560887528827

pid = -12, p = (-0.6756783198463853, -0.41949173434481585, 5.146342596100682, 5.207432824678046), Parent_PIDs = (-12, 2), theta = 0.1533255469643309, phi = 3.69719876609002
pid = 2112, p = (-0.31705794400747994, 0.03313348956338641, 5.736499385933034, 5.82166991143426), Parent_PIDs = (2, 2101), theta = 0.055514164427631754, phi = 3.0374676539067913
pid = 2112, p = (0.05039756524909812, 0.30620164666960525, 5.781166318966418, 5.865234450169741), Parent_PIDs = (3122, 90), theta = 0.05362652412734496, phi = 1.407669388585117
pid = 14, p = (0.050628227396384264, 0.08268731030941256, 0.5566526943893098, 0.5650333006703083), Parent_PIDs = (-3112, 90), theta = 0.1724463277704885, phi = 1.0213924313053955
pid = -13, p = (0.000811771098319515, -0.014062796786796724, 0.1935999146703604, 0.22100539311553824), Parent_PIDs = (-3112, 90), theta = 0.07263137748058512, phi = 4.770049719063071
pid = -2112, p = (0.5086721969484258, 0.09358832446356444, 5.776762961090113, 5.875481960822178), Parent_PIDs = (-3112, 90), theta = 0.0892947485901489, phi = 0.18195069113008294
pid = 22, p = (0.1398070963063027, 0.005156822255016584, 0.05627833861537637, 0.15079744159194688), Parent_PIDs = (111, 90), theta = 1.188335244838722, phi = 0.03686855417190935
pid = 22, p = (0.23736211701529747, -0.01864376385747106, -0.07826564839803768, 0.25062696631432596), Parent_PIDs = (111, 90), theta = 1.8883878498421562, phi = 6.204800580141311
pid = 22, p = (0.03193491599572392, -0.04317807238075551, 0.1315288801248396, 0.14207051453790864), Parent_PIDs = (111, 90), theta = 0.38764990379620834, phi = 5.34920698832627
pid = 22, p = (-0.026877626155686705, -0.025391225891142878, 0.8762425989904734, 0.8770223562860866), Parent_PIDs = (111, 90), theta = 0.04217174500680081, phi = 3.898560887528827

pid = -12, p = (-0.6756783198463853, -0.41949173434481585, 5.146342596100682, 5.207432824678046), Parent_PIDs = (-12, 2), theta = 0.1533255469643309, phi = 3.69719876609002
pid = 2112, p = (-0.31705794400747994, 0.03313348956338641, 5.736499385933034, 5.82166991143426), Parent_PIDs = (2, 2101), theta = 0.055514164427631754, phi = 3.0374676539067913
pid = 2112, p = (0.05039756524909812, 0.30620164666960525, 5.781166318966418, 5.865234450169741), Parent_PIDs = (3122, 90), theta = 0.05362652412734496, phi = 1.407669388585117
pid = 14, p = (0.050628227396384264, 0.08268731030941256, 0.5566526943893098, 0.5650333006703083), Parent_PIDs = (-3112, 90), theta = 0.1724463277704885, phi = 1.0213924313053955
