Energy,Cross_section_pb,Total_events,pid,momentum,parent_pids,theta,phi
44.96472,0.04186839037475194,991640.0,,,,,
,,,-12,"(-0.2854854090220513, -1.7103633748008782, 18.468886425352927, 18.550110797114133)","(-12, -12)",0.09361458581925072,4.546998630607239
,,,211,"(-0.18488683079766122, 1.2380920803124948, 4.847446088423601, 5.008419761222914)","(2, -4)",0.2527219386893094,1.7190329605079213
,,,-13,"(-0.48564106285100406, -0.30373854717883264, 1.0061057394295883, 1.1625476942829136)","(4122, 90)",0.5175609978750336,3.7005071279743427
,,,14,"(0.00397079230532409, 0.19307593178742394, 0.7230936158973338, 0.7484373453927821)","(4122, 90)",0.2609790997677982,1.550233263426952
,,,2112,"(0.49857911328994853, -0.9611596674473992, 6.263063429871624, 6.425041972628031)","(4122, 90)",0.1711910223464711,5.190905410605335
,,,321,"(-0.20696931142794764, 0.3090098722132661, 4.999022610871606, 5.037089477406944)","(-411, 90)",0.07426143712979949,2.160952736306136
,,,-211,"(0.18480612732080762, 1.2420663286421105, 4.826630597722783, 4.9892609453921715)","(-411, 90)",0.25452634993158446,1.4230906888208155
,,,-211,"(0.3859960757591804, 0.014480914812093487, 1.1034891035243237, 1.1774424206270964)","(-411, 90)",0.33671229861960594,0.03749811937671427
,,,22,"(0.09836815422807546, -0.04390687403082284, 0.18845136570574098, 0.21706686663274033)","(111, 90)",0.5192895809298763,5.863368760764532
,,,22,"(-0.008737648804672045, 0.022443335690543124, 0.2449179951636507, 0.24609931771245155)","(111, 90)",0.09802072660059677,1.9420624001861404
,,,,,,,
,,,-12,"(-0.2854854090220513, -1.7103633748008782, 18.468886425352927, 18.550110797114133)","(-12, -12)",0.09361458581925072,4.546998630607239
,,,211,"(-0.18488683079766122, 1.2380920803124948, 4.847446088423601, 5.008419761222914)","(2, -4)",0.2527219386893094,1.7190329605079213
,,,-13,"(-0.48564106285100406, -0.30373854717883264, 1.0061057394295883, 1.1625476942829136)","(4122, 90)",0.5175609978750336,3.7005071279743427
,,,14,"(0.00397079230532409, 0.19307593178742394, 0.7230936158973338, 0.7484373453927821)","(4122, 90)",0.2609790997677982,1.550233263426952
,,,2112,"(0.49857911328994853, -0.9611596674473992, 6.263063429871624, 6.425041972628031)","(4122, 90)",0.1711910223464711,5.190905410605335
,,,321,"(-0.20696931142794764, 0.3090098722132661, 4.999022610871606, 5.037089477406944)","(-411, 90)",0.07426143712979949,2.160952736306136
,,,-211,"(0.18480612732080762, 1.2420663286421105, 4.826630597722783, 4.9892609453921715)","(-411, 90)",0.25452634993158446,1.4230906888208155
,,,-211,"(0.3859960757591804, 0.014480914812093487, 1.1034891035243237, 1.1774424206270964)","(-411, 90)",0.33671229861960594,0.03749811937671427
,,,22,"(0.09836815422807546, -0.04390687403082284, 0.18845136570574098, 0.21706686663274033)","(111, 90)",0.5192895809298763,5.863368760764532
,,,22,"(-0.008737648804672045, 0.022443335690543124, 0.2449179951636507, 0.24609931771245155)","(111, 90)",0.09802072660059677,1.9420624001861404
,,,,,,,
,,,-12,"(-0.2854854090220513, -1.7103633748008782, 18.468886425352927, 18.550110797114133)","(-12, -12)",0.09361458581925072,4.546998630607239
,,,211,"(-0.18488683079766122, 1.2380920803124948, 4.847446088423601, 5.008419761222914)","(2, -4)",0.2527219386893094,1.7190329605079213
,,,-13,"(-0.48564106285100406, -0.30373854717883264, 1.0061057394295883, 1.1625476942829136)","(4122, 90)",0.5175609978750336,3.7005071279743427
,,,14,"(0.00397079230532409, 0.19307593178742394, 0.7230936158973338, 0.7484373453927821)","(4122, 90)",0.2609790997677982,1.550233263426952
,,,2112,"(0.49857911328994853, -0.9611596674473992, 6.263063429871624, 6.425041972628031)","(4122, 90)",0.1711910223464711,5.190905410605335
,,,321,"(-0.20696931142794764, 0.3090098722132661, 4.999022610871606, 5.037089477406944)","(-411, 90)",0.07426143712979949,2.160952736306136
,,,-211,"(0.18480612732080762, 1.2420663286421105, 4.826630597722783, 4.9892609453921715)","(-411, 90)",0.25452634993158446,1.4230906888208155
,,,-211,"(0.3859960757591804, 0.014480914812093487, 1.1034891035243237, 1.1774424206270964)","(-411, 90)",0.33671229861960594,0.03749811937671427
,,,22,"(0.09836815422807546, -0.04390687403082284, 0.18845136570574098, 0.21706686663274033)","(111, 90)",0.5192895809298763,5.863368760764532
,,,22,"(-0.008737648804672045, 0.022443335690543124, 0.2449179951636507, 0.24609931771245155)","(111, 90)",0.09802072660059677,1.9420624001861404
,,,,,,,
,,,-12,"(-0.2854854090220513, -1.7103633748008782, 18.468886425352927, 18.550110797114133)","(-12, -12)",0.09361458581925072,4.546998630607239
,,,211,"(-0.18488683079766122, 1.2380920803124948, 4.847446088423601, 5.008419761222914)","(2, -4)",0.2527219386893094,1.7190329605079213
,,,-13,"(-0.48564106285100406, -0.30373854717883264, 1.0061057394295883, 1.1625476942829136)","(4122, 90)",0.5175609978750336,3.7005071279743427
,,,14,"(0.00397079230532409, 0.19307593178742394, 0.7230936158973338, 0.7484373453927821)","(4122, 90)",0.2609790997677982,1.550233263426952
,,,2112,"(0.49857911328994853, -0.9611596674473992, 6.263063429871624, 6.425041972628031)","(4122, 90)",0.1711910223464711,5.190905410605335
,,,321,"(-0.20696931142794764, 0.3090098722132661, 4.999022610871606, 5.037089477406944)","(-411, 90)",0.07426143712979949,2.160952736306136
,,,-211,"(0.18480612732080762, 1.2420663286421105, 4.826630597722783, 4.9892609453921715)","(-411, 90)",0.25452634993158446,1.4230906888208155
,,,-211,"(0.3859960757591804, 0.014480914812093487, 1.1034891035243237, 1.1774424206270964)","(-411, 90)",0.33671229861960594,0.03749811937671427
,,,22,"(0.09836815422807546, -0.04390687403082284, 0.18845136570574098, 0.21706686663274033)","(111, 90)",0.5192895809298763,5.863368760764532
,,,22,"(-0.008737648804672045, 0.022443335690543124, 0.2449179951636507, 0.24609931771245155)","(111, 90)",0.09802072660059677,1.9420624001861404
,,,,,,,
,,,-12,"(-0.2854854090220513, -1.7103633748008782, 18.468886425352927, 18.550110797114133)","(-12, -12)",0.09361458581925072,4.546998630607239
,,,211,"(-0.18488683079766122, 1.2380920803124948, 4.847446088423601, 5.008419761222914)","(2, -4)",0.2527219386893094,1.7190329605079213
,,,-13,"(-0.48564106285100406, -0.30373854717883264, 1.0061057394295883, 1.1625476942829136)","(4122, 90)",0.5175609978750336,3.7005071279743427
,,,14,"(0.00397079230532409, 0.19307593178742394, 0.7230936158973338, 0.7484373453927821)","(4122, 90)",0.2609790997677982,1.550233263426952
,,,2112,"(0.49857911328994853, -0.9611596674473992, 6.263063429871624, 6.425041972628031)","(4122, 90)",0.1711910223464711,5.190905410605335
,,,321,"(-0.20696931142794764, 0.3090098722132661, 4.999022610871606, 5.037089477406944)","(-411, 90)",0.07426143712979949,2.160952736306136
,,,-211,"(0.18480612732080762, 1.2420663286421105, 4.826630597722783, 4.9892609453921715)","(-411, 90)",0.25452634993158446,1.4230906888208155
,,,-211,"(0.3859960757591804, 0.014480914812093487, 1.1034891035243237, 1.1774424206270964)","(-411, 90)",0.33671229861960594,0.03749811937671427
,,,22,"(0.09836815422807546, -0.04390687403082284, 0.18845136570574098, 0.21706686663274033)","(111, 90)",0.5192895809298763,5.863368760764532
,,,22,"(-0.008737648804672045, 0.022443335690543124, 0.2449179951636507, 0.24609931771245155)","(111, 90)",0.09802072660059677,1.9420624001861404
,,,,,,,
,,,-12,"(-0.2854854090220513, -1.7103633748008782, 18.468886425352927, 18.550110797114133)","(-12, -12)",0.09361458581925072,4.546998630607239
,,,211,"(-0.18488683079766122, 1.2380920803124948, 4.847446088423601, 5.008419761222914)","(2, -4)",0.2527219386893094,1.7190329605079213
,,,-13,"(-0.48564106285100406, -0.30373854717883264, 1.0061057394295883, 1.1625476942829136)","(4122, 90)",0.5175609978750336,3.7005071279743427
,,,14,"(0.00397079230532409, 0.19307593178742394, 0.7230936158973338, 0.7484373453927821)","(4122, 90)",0.2609790997677982,1.550233263426952
,,,2112,"(0.49857911328994853, -0.9611596674473992, 6.263063429871624, 6.425041972628031)","(4122, 90)",0.1711910223464711,5.190905410605335
,,,321,"(-0.20696931142794764, 0.3090098722132661, 4.999022610871606, 5.037089477406944)","(-411, 90)",0.07426143712979949,2.160952736306136
,,,-211,"(0.18480612732080762, 1.2420663286421105, 4.826630597722783, 4.9892609453921715)","(-411, 90)",0.25452634993158446,1.4230906888208155
,,,-211,"(0.3859960757591804, 0.014480914812093487, 1.1034891035243237, 1.1774424206270964)","(-411, 90)",0.33671229861960594,0.03749811937671427
,,,22,"(0.09836815422807546, -0.04390687403082284, 0.18845136570574098, 0.21706686663274033)","(111, 90)",0.5192895809298763,5.863368760764532
