Events for energy 28.37082 GeV:
Cross section pb: 0.047774360710063704
Total number of events: 990840

pid = 14, p = (0.11260798189603276, -0.6948598051761874, 1.7576869328403788, 1.8934027728705811), Parent_PIDs = (14, 4), theta = 0.3809234115881325, phi = 4.873050775231071
pid = -13, p = (0.19303803499070252, 0.49662506448755867, 2.7354090808700766, 2.788821796554384), Parent_PIDs = (4122, 90), theta = 0.19237830881751752, phi = 1.2000693466849348
pid = 14, p = (-0.4892320480403731, 0.2210655607236287, 1.7450117265472833, 1.8257283217268012), Parent_PIDs = (4122, 90), theta = 0.2984636897161337, phi = 2.7171910452729304
pid = 22, p = (-0.035502055102555635, -0.0410633149781246, 0.12293624069355644, 0.1343871683955044), Parent_PIDs = (111, 90), theta = 0.41580486676558726, phi = 3.999497628234777
pid = 22, p = (0.022006966703730473, 0.0832793829370181, 0.13664741621590748, 0.1615310452029365), Parent_PIDs = (111, 90), theta = 0.5624495284752361, phi = 1.3124471388757408
pid = 211, p = (0.20271617620584706, 0.1775240364877875, 1.2387014877662574, 1.275331248076662), Parent_PIDs = (323, 90), theta = 0.2141970894504806, phi = 0.7192416248680632
pid = -211, p = (-0.05687535698407872, 0.3876085089303532, 2.2531914243529325, 2.291249995549345), Parent_PIDs = (-213, 90), theta = 0.1721475993282548, phi = 1.7164906474908808
pid = 2212, p = (0.19934856990425637, -0.4315598880346707, 4.801219953412713, 4.915083663909675), Parent_PIDs = (3122, 90), theta = 0.09869016042990189, phi = 5.145115880611263
pid = -211, p = (0.03034857259291971, 0.046360493086587386, 0.7464065897443675, 0.7613625373575168), Parent_PIDs = (3122, 90), theta = 0.07410051717763314, phi = 0.9911791505329718
pid = 130, p = (0.046263183235547733, -0.3215288689722251, 4.092310543253354, 4.13523184237936), Parent_PIDs = (311, 311), theta = 0.07921207623075673, phi = 4.855293195579652
pid = 22, p = (-0.037304456705001085, 0.023687358554425605, 0.15851450159247976, 0.16455868454886685), Parent_PIDs = (111, 90), theta = 0.27187027624573373, phi = 2.575853182181872
pid = 22, p = (-0.18741556869702808, 0.05286147195384877, 0.13873871493236262, 0.23909697118165535), Parent_PIDs = (111, 90), theta = 0.9517468575892744, phi = 2.8666794980067083

pid = 14, p = (0.11260798189603276, -0.6948598051761874, 1.7576869328403788, 1.8934027728705811), Parent_PIDs = (14, 4), theta = 0.3809234115881325, phi = 4.873050775231071
pid = -13, p = (0.19303803499070252, 0.49662506448755867, 2.7354090808700766, 2.788821796554384), Parent_PIDs = (4122, 90), theta = 0.19237830881751752, phi = 1.2000693466849348
pid = 14, p = (-0.4892320480403731, 0.2210655607236287, 1.7450117265472833, 1.8257283217268012), Parent_PIDs = (4122, 90), theta = 0.2984636897161337, phi = 2.7171910452729304
pid = 22, p = (-0.035502055102555635, -0.0410633149781246, 0.12293624069355644, 0.1343871683955044), Parent_PIDs = (111, 90), theta = 0.41580486676558726, phi = 3.999497628234777
pid = 22, p = (0.022006966703730473, 0.0832793829370181, 0.13664741621590748, 0.1615310452029365), Parent_PIDs = (111, 90), theta = 0.5624495284752361, phi = 1.3124471388757408
pid = 211, p = (0.20271617620584706, 0.1775240364877875, 1.2387014877662574, 1.275331248076662), Parent_PIDs = (323, 90), theta = 0.2141970894504806, phi = 0.7192416248680632
pid = -211, p = (-0.05687535698407872, 0.3876085089303532, 2.2531914243529325, 2.291249995549345), Parent_PIDs = (-213, 90), theta = 0.1721475993282548, phi = 1.7164906474908808
pid = 2212, p = (0.19934856990425637, -0.4315598880346707, 4.801219953412713, 4.915083663909675), Parent_PIDs = (3122, 90), theta = 0.09869016042990189, phi = 5.145115880611263
pid = -211, p = (0.03034857259291971, 0.046360493086587386, 0.7464065897443675, 0.7613625373575168), Parent_PIDs = (3122, 90), theta = 0.07410051717763314, phi = 0.9911791505329718
pid = 130, p = (0.046263183235547733, -0.3215288689722251, 4.092310543253354, 4.13523184237936), Parent_PIDs = (311, 311), theta = 0.07921207623075673, phi = 4.855293195579652
pid = 22, p = (-0.037304456705001085, 0.023687358554425605, 0.15851450159247976, 0.16455868454886685), Parent_PIDs = (111, 90), theta = 0.27187027624573373, phi = 2.575853182181872
pid = 22, p = (-0.18741556869702808, 0.05286147195384877, 0.13873871493236262, 0.23909697118165535), Parent_PIDs = (111, 90), theta = 0.9517468575892744, phi = 2.8666794980067083

pid = 14, p = (0.11260798189603276, -0.6948598051761874, 1.7576869328403788, 1.8934027728705811), Parent_PIDs = (14, 4), theta = 0.3809234115881325, phi = 4.873050775231071
